# Data from paperscape.org
# If you use this data, please give due credit to: Damien P. George and Rob Knegjens, Paperscape
# A citable DOI for this data can be found at http://github.com/paperscape/paperscape-data
#
# Format is 1 line per entry, with 7 fields separated by semicolons:
# arxiv-id;comma-separated-arxiv-categories;num-found-refs;num-total-refs;comma-separated-refs;comma-separated-authors;title
# Parse with Python code: entries = [line.split(";", 7) for line in open("file")]
# See comments at the bottom of this file for statistics
hep-th/9401027;hep-th;8;39;hep-th/9201019,hep-th/9205099,hep-th/9206082,hep-th/9207039,hep-th/9210061,hep-th/9210069,hep-th/9212037,hep-th/9304054;M.Cederwall,G.Ferretti,B.E.W.Nilsson,A.Westerberg;Higher-Dimensional Loop Algebras, Non-Abelian Extensions and p-Branes
hep-ph/9401220;hep-ph;0;0;;T.Vachaspati,G.B.Field;Electroweak String Configurations with Baryon Number
hep-th/9401028;hep-th;3;17;hep-th/9302002,hep-th/9303087,hep-th/9308016;R.P.Zaikov;Hydden Symmetry approach to the Extended Symmetries in Nonabelian Free Fermionic and WZNW Models
gr-qc/9401004;gr-qc;0;0;;J.M.Nester,R.-S.Tung,Y.Z.Zhang;Ashtekar's New Variables and Positive Energy
gr-qc/9401005;gr-qc;0;16;;M.D.Maia,G.S.Silva;Geometrical Constraints on the Cosmological Constant
hep-lat/9401005;hep-lat,hep-ph;0;0;;D.B.Leinweber;A Few Points on Point-to-Point Correlation Functions
hep-th/9401029;hep-th;0;33;;P.Berglund,M.Henningson;Landau-Ginzburg Orbifolds, Mirror Symmetry and the Elliptic Genus
astro-ph/9401006;astro-ph;0;0;;F.C.Adams,K.Freese;The Scalar Field Potential in Inflationary Models: Reconstruction and Further Constraints
cond-mat/9401014;cond-mat;0;32;;C.H.Booth,F.Bridges,J.B.Boyce,T.Claeson,Z.X.Zhao,P.Cervantes;Local Disorder in the Oxygen Environment Around Praseodymium in YBCO:Pr from X-ray Absorption Fine Structure
hep-ph/9401221;hep-ph;0;0;;D.Fliegner,M.G.Schmidt,C.Schubert;The Higher Derivative Expansion of the Effective Action by the String-Inspired Method, Part I
astro-ph/9401007;astro-ph,gr-qc,hep-ph;0;23;;C.-P.Ma,E.Bertschinger;Cosmological Perturbation Theory in the Synchronous vs. Conformal Newtonian Gauge
astro-ph/9401008;astro-ph;0;0;;B.Moore,M.Davis;The Origin of the Magellanic Stream
hep-ph/9401222;hep-ph;2;19;hep-ph/9209205,hep-ph/9304255;E.G.Gurvich,G.G.Leptoukh,E.K.Sarkisyan;Intermittency in soft hadronic processes and Zip-model
hep-ph/9401223;hep-ph,hep-th;0;0;;V.V.Khoze;The Vacuum Theta-Angle is Zero in Non-Abelian Gauge Theories
cond-mat/9401015;cond-mat;0;11;;K.Harigaya,S.Abe;Optical Absorption in C_70 and C_76: Effects of Symmetry Reduction
hep-ph/9401224;hep-ph;3;51;hep-lat/9205006,hep-ph/9301204,hep-ph/9302279;M.A.Doncheski,R.W.Robinett;Aspects of $χ$ and $ψ$ Production in Polarized Proton-Proton Collisions
gr-qc/9401006;gr-qc;0;0;;M.Tegmark,L.Yeh;Steady states of harmonic oscillator chains and shortcomings of harmonic heat baths
hep-lat/9401006;hep-lat;0;0;;C.M.Bender,S.Boettcher,M.Moshe;Spherically-Symmetric Random Walks in Noninteger Dimension
hep-th/9401030;hep-th;24;49;hep-th/9108004,hep-th/9108019,hep-th/9109005,hep-th/9109032,hep-th/9110029,hep-th/9111035,hep-th/9111048,hep-th/9112021,hep-th/9112052,hep-th/9201005,hep-th/9201056,hep-th/9203060,hep-th/9208031,hep-th/9208046,hep-th/9211089,hep-th/9301070,hep-th/9301083,hep-th/9302027,hep-th/9302048,hep-th/9304121,hep-th/9305079,hep-th/9312189,hep-th/9403190,hep-th/9404056;A.Hanany,Y.Oz,M.R.Plesser;Topological Landau-Ginzburg Formulation and Integrable Structure of 2d String Theory
gr-qc/9401007;gr-qc;0;14;;H.Kodama,H.Ishihara,Y.Fujiwara;Does a domain wall emit gravitational waves? -- General-relativistic perturbative treatment
gr-qc/9401008;gr-qc;1;17;hep-th/9212078;P.Menotti,D.Seminara;Stationary Solutions in 2+1 Dimensional Gravity and Closed Time-Like Curves
patt-sol/9401003;patt-sol,nlin.PS,nlin.SI,solv-int;0;0;;F.Pempinelli;Soliton solutions of the Hamiltonian DSI and DSIII equations
hep-th/9401031;hep-th;3;13;hep-th/9108004,hep-th/9111028,hep-th/9201056;D.R.Karakhanyan,R.P.Manvelyan,R.L.Mkrtchyan;Area-preserving structure of 2d-gravity
hep-th/9401032;hep-th;1;8;hep-th/9111028;R.P.Manvelyan,R.L.Mkrtchyan;Geometrical action for $w_∞$ algebra as a reduced symplectic Chern-Simons theory
hep-th/9401033;hep-th;0;39;;A.Roberge;Fermion Back-Reaction and the Sphaleron
astro-ph/9401009;astro-ph,gr-qc;0;0;;M.Milgrom;The virial theorem for action-governed theories
astro-ph/9401010;astro-ph;0;0;;A.Ferrara,R.J.Dettmar;Radio Emitting Dust in the Free-Electron Layer of Spiral Galaxies: Testing the Disk/Halo Interface
hep-ph/9401225;hep-ph;0;34;;C.-H.Chang,Y.-Q.Chen;The Instantaneous Approximation to the Transition Matrix Elements between Two Bound States
hep-ph/9401226;hep-ph;16;30;hep-ph/9204229,hep-ph/9209268,hep-ph/9304225,hep-ph/9307247,hep-ph/9307291,hep-ph/9308246,hep-ph/9308287,hep-ph/9308288,hep-ph/9309262,hep-ph/9311215,hep-ph/9311232,hep-ph/9311325,hep-ph/9312220,hep-ph/9312306,hep-ph/9312311,hep-ph/9312359;A.F.Falk,Z.Ligeti,M.Neubert,Y.Nir;Heavy Quark Expansion for the Inclusive Decay $\bar B→τ \bar ν X$
nucl-th/9401004;nucl-th;1;43;nucl-th/9211007;Th.A.Rijken;Baryon-Baryon Interactions
hep-th/9401034;hep-th;2;36;hep-th/9210145,hep-th/9211086;S.Randjbar-Daemi,J.Strathdee;Aspects of $σ$ Models
hep-th/9401035;hep-th;0;21;;A.Khvedelidze,V.Pervushin;Zero Modes of First Class Secondary Constraints in Gauge Theories
hep-th/9401036;hep-th,gr-qc;2;29;hep-th/9303112,hep-th/9304022;M.Visinescu;The Geodesic Motion in Taub-Nut Spinning Space
hep-th/9401037;hep-th;2;9;hep-th/9304142,hep-th/9312048;D.R.Grigore;Hamiltonian Mechanics in 1+2 Dimensions
astro-ph/9401011;astro-ph,gr-qc,hep-th;13;79;hep-th/9201047,hep-th/9202046,hep-ph/9203214,hep-th/9204012,hep-ph/9207245,astro-ph/9208007,hep-th/9212049,hep-ph/9302321,astro-ph/9303019,astro-ph/9307040,hep-ph/9308271,hep-ph/9308325,astro-ph/9309054;E.J.Copeland,A.R.Liddle,D.H.Lyth,E.D.Stewart,D.Wands;False Vacuum Inflation with Einstein Gravity
hep-ph/9401227;hep-ph;0;40;;F.Caravaglios;The Top Mass Upper Bound and Electroweak Radiative Corrections
hep-ph/9401228;hep-ph;11;41;hep-ph/9206242,hep-ph/9206244,hep-ph/9207264,hep-ph/9212284,hep-ph/9302201,hep-ph/9302271,hep-ph/9304294,hep-ph/9306264,hep-ph/9308275,hep-ph/9309287,hep-ph/9310230;J.T.Liu,D.Ng;Lepton flavor changing processes and CP violation in the 331 model
hep-ph/9401229;hep-ph;0;5;;J.Jalilian-Marian;Rare Decays of Z-boson
hep-ph/9401230;hep-ph;0;41;;A.Dobado,A.Lopez,J.Morales;Pion scattering and the skyrmion in ChPT with many pions
cond-mat/9401016;cond-mat;0;23;;Amaral,Barabasi,Buldyrev,Havlin,Stanley;A New Exponent Characterizing the Effect of Evaporation on Imbibition Experiments
hep-th/9401038;hep-th;1;9;hep-th/9309106;W.Zhao;An Exact Solution to O(26) Sigma Model coupled to 2-D Gravity
astro-ph/9401012;astro-ph;0;0;;C.Bennett,A.Kogut,G.Hinshaw,A.Banday,E.Wright,K.Gorski,D.Wilkinson,R.Weiss,G.Smoot,S.Meyer,J.Mather,P.Lubin,K.Loewenstein,C.Lineweaver,P.Keegstra,E.Kaita,P.Jackson,E.Cheng;Cosmic Temperature Fluctuations from Two Years of COBE DMR Observations
gr-qc/9401009;gr-qc;0;49;;T.Matos;5D Axisymmetric Stationary Solutions as Harmonic Maps
math/9401203;math.LO;0;6;;I.Juhász,L.Soukup,Z.Szentmiklóssy;What makes a space have large weight?
hep-th/9401039;hep-th;0;0;;R.P.Lano,V.G.J.Rodgers;A Study of Fermions Coupled to Gauge and Gravitational Fields on a Cylinder
hep-ph/9401231;hep-ph;4;80;hep-ph/9204214,hep-ph/9206225,hep-ph/9212208,hep-ph/9302312;N.Kitazawa;Tumbling and Technicolor Theory
hep-ph/9401232;hep-ph;0;0;;R.F.Lebed,M.A.Luty;Baryon Masses at Second Order in Chiral Perturbation Theory
hep-th/9401040;hep-th;0;0;;T.Gisiger,M.B.Paranjape;Low Energy Skyrmion-Skyrmion Scattering
hep-th/9401041;hep-th;6;31;hep-th/9212149,hep-th/9301003,hep-th/9301068,hep-th/9303046,hep-th/9305047,hep-th/9305097;J.Baez,W.Taylor;Strings and Two-dimensional QCD for Finite N
hep-ph/9401233;hep-ph;0;12;;H.C.Chiang,J.Hüfner,H.J.Pirner;Finite size vertex corrections to the three-gluon decay widths of $J/ψ$ and $Υ$ and a redetermination of $α_s(μ)$ at $μ=m_c$ and $m_b$
hep-ph/9401234;hep-ph;5;37;hep-ph/9203203,hep-ph/9207221,hep-ph/9207227,hep-ph/9212299,hep-ph/9302221;S.A.Abel,K.E.C.Benson;Baryogenesis from a Primordial Lepton Asymmetry
cond-mat/9401017;cond-mat;0;48;;Y.M.Li,N.d'Ambrumenil;A partition functional and thermodynamic properties of the infinite-dimensional Hubbard model
cond-mat/9401018;cond-mat;0;13;;Y.Yu,Y.M.Li,N.d'Ambrumenil;Bosonization for 2D Interacting Fermion Systems: Non-Fermi Liquid Behavior
hep-lat/9401007;hep-lat,hep-ph;0;0;;K.Yee;Temperature Dependence of Extended and Fractional SU(3) Monopole Currents
astro-ph/9401013;astro-ph;0;31;;J.Pelt,W.Hoff,R.Kayser,S.Refsdal,T.Schramm;Time delay controversy on QSO 0957+561 not yet decided
hep-lat/9401008;hep-lat;0;0;;F.Karsch;New Results and Long-standing Questions in Finite Temperature QCD
hep-ph/9401235;hep-ph;0;0;;I.Sarcevic,H.C.Eggers,H.Th.Elze;Effective Field Theory of Multiparticle Correlations
astro-ph/9401014;astro-ph,hep-ph;3;35;astro-ph/9207001,astro-ph/9303019,astro-ph/9305011;A.R.Liddle,D.H.Lyth;Observational Constraints on the Spectral Index
astro-ph/9401015;astro-ph;3;42;hep-ph/9206233,astro-ph/9305022,astro-ph/9309003;E.L.Wright,G.F.Smoot,C.L.Bennett,P.M.Lubin;Angular Power Spectrum of the Microwave Background Anisotropy seen by the COBE Differential Microwave Radiometer
nucl-th/9401005;nucl-th;2;51;nucl-th/9303007,nucl-th/9309012;A.Csoto;Three-body resonances in He-6, Li-6, and Be-6, and the soft dipole mode problem of neutron halo nuclei
gr-qc/9401010;gr-qc,hep-th;0;0;;F.Englert,B.Reznik;Entropy generation in 2+1-dimensional Gravity
hep-th/9401042;hep-th;1;94;hep-th/9202047;V.Schomerus;Construction of Field Algebras with Quantum Symmetry from Local Observables
hep-th/9401043;hep-th,hep-ph;2;57;hep-ph/9304242,hep-ph/9304243;V.V.Dvoeglazov;2(2S+1)-Component Model and its Connection with Other Field Theories
hep-ph/9401236;hep-ph;0;8;;E.Eichten,K.Lane;Multiscale Technicolor and Top Production
astro-ph/9401016;astro-ph;0;0;;D.J.Eisenstein,A.Loeb;Origin of Quasar Progenitors from the Collapse of Low-Spin Cosmological Perturbations
hep-th/9401044;hep-th;6;13;hep-th/9209049,hep-th/9212149,hep-th/9301068,hep-th/9304011,hep-th/9306013,hep-th/9307111;J.Boorstein,D.Kutasov;Symmetries and Mass Splittings in QCD$_2$ Coupled to Adjoint Fermions
hep-ph/9401237;hep-ph;0;54;;M.G.Sotiropoulos,G.Sterman;Proton-Proton Near-Forward Hard Elastic Scattering
hep-lat/9401009;hep-lat,hep-ph;1;27;hep-ph/9206236;S.Myint,C.Rebbi;Chiral Perturbation Theory on the Lattice; Strong Coupling Expansion
cond-mat/9401019;cond-mat;0;19;;M.Sigrist,T.M.Rice,F.C.Zhang;Superconductivity in a Quasi One Dimensional Spin Liquid
hep-lat/9401010;hep-lat,hep-ph;1;25;hep-ph/9206236;S.Myint,C.Rebbi;Lattice QCD and Chiral Lagrangians
cond-mat/9401020;cond-mat,hep-th;0;0;;W.Cai,T.C.Lubensky,P.Nelson,T.Powers;Measure Factors, Tension, and Correlations of Fluid Membranes
alg-geom/9401001;alg-geom,math.AC,math.AG;0;0;;D.Eisenbud,B.Sturmfels;Binomial Ideals
